store_id,management_group_id,first_category_id,second_category_id,third_category_id,product_id,dt,sale_amount,stock_hour6_22_cnt,discount,holiday_flag,activity_flag,precpt,avg_temperature,avg_humidity,avg_wind_level,year,month,day,weekday
61,4,23,10,17,644,2024-03-30,0.2,0,1.0,1,0,2.0936,16.47,76.59,1.68,2024,3,30,Saturday
91,6,20,50,59,166,2024-06-07,3.6,4,1.0,0,0,1.8132,24.94,73.67,1.57,2024,6,7,Friday
95,6,10,38,173,672,2024-04-25,0.4,0,0.732,0,1,3.6051,20.31,80.29,1.59,2024,4,25,Thursday
18,2,0,13,27,98,2024-05-26,0.9,6,0.82,1,1,0.8557,23.29,67.05,1.98,2024,5,26,Sunday
143,6,24,69,139,645,2024-06-14,2.9,0,0.625,0,1,6.4891,27.09,77.2,1.73,2024,6,14,Friday
96,6,4,28,216,71,2024-06-02,2.2,5,0.785,1,1,1.6011,23.65,73.43,1.59,2024,6,2,Sunday
18,6,24,51,153,574,2024-04-04,0.7,6,1.0,1,0,0.9605,16.96,74.25,1.34,2024,4,4,Thursday
46,6,20,58,172,223,2024-05-13,1.2,8,0.838,0,1,1.7002,21.32,72.75,1.93,2024,5,13,Monday
95,6,8,29,113,84,2024-04-26,0.2,0,1.0,0,0,2.7868,19.96,78.86,1.39,2024,4,26,Friday
151,6,21,64,123,666,2024-06-22,3.0,4,0.795,1,1,8.1354,27.01,82.0,1.84,2024,6,22,Saturday
1,6,21,64,184,806,2024-04-07,0.2,9,1.0,0,0,2.0327,16.54,79.63,1.23,2024,4,7,Sunday
145,5,16,25,99,634,2024-04-07,0.2,14,0.887,0,1,3.1862,16.17,86.08,1.32,2024,4,7,Sunday
18,6,10,33,181,129,2024-06-10,0.5,12,1.0,1,0,5.0102,26.14,75.24,1.8,2024,6,10,Monday
144,6,20,68,127,122,2024-04-13,0.7,0,1.0,1,0,1.9463,17.7,81.07,1.71,2024,4,13,Saturday
140,6,4,53,77,41,2024-06-21,0.5,0,0.699,0,1,9.9165,26.39,83.66,1.51,2024,6,21,Friday
34,6,10,38,173,672,2024-05-12,0.5,0,1.0,1,1,0.6402,22.23,65.8,1.04,2024,5,12,Sunday
126,6,20,50,59,567,2024-04-13,0.8,0,0.808,1,1,1.9465,18.7,80.89,1.61,2024,4,13,Saturday
53,6,4,28,180,118,2024-06-19,1.0,3,0.968,0,0,14.1764,26.0,82.85,1.57,2024,6,19,Wednesday
55,6,4,28,168,554,2024-04-17,0.8,12,1.0,0,0,0.9458,18.04,74.66,1.73,2024,4,17,Wednesday
91,1,3,15,30,139,2024-06-12,1.5,4,0.978,0,0,5.4663,25.77,80.3,1.57,2024,6,12,Wednesday
151,6,8,29,113,77,2024-04-25,0.1,16,0.8830000162124634,0,1,3.8263,19.66,74.77,1.44,2024,4,25,Thursday
112,6,8,29,113,84,2024-06-09,0.8,7,0.895,1,1,5.0534,26.19,75.97,1.39,2024,6,9,Sunday
140,6,4,53,77,41,2024-06-04,0.0,9,0.8830000162124634,0,1,1.3506,24.47,73.53,1.86,2024,6,4,Tuesday
140,3,14,40,146,793,2024-04-25,0.3,13,1.0,0,0,3.8704,20.02,78.02,1.31,2024,4,25,Thursday
145,6,4,53,58,23,2024-05-31,1.3,0,1.0,0,0,2.6692,22.66,77.17,1.46,2024,5,31,Friday
91,2,29,76,60,452,2024-06-08,0.3,0,0.923,1,1,2.3637,25.17,74.04,1.64,2024,6,8,Saturday
142,6,10,38,173,672,2024-06-18,0.0,0,0.8320000171661377,0,1,14.2335,26.32,84.64,1.59,2024,6,18,Tuesday
151,6,8,8,9,192,2024-05-26,0.9,0,1.0,1,0,0.8619,22.56,67.04,2.02,2024,5,26,Sunday
46,5,16,25,105,290,2024-05-10,1.0,7,1.0,0,0,1.4658,19.72,71.48,1.84,2024,5,10,Friday
60,2,31,79,121,110,2024-05-25,0.7,0,1.0,1,0,0.8794,24.06,70.0,1.73,2024,5,25,Saturday
29,6,4,53,58,578,2024-05-14,1.5,1,0.992,0,0,2.2421,21.79,69.18,2.19,2024,5,14,Tuesday
143,5,16,25,106,313,2024-06-08,0.6,10,1.0,1,0,2.3714,25.45,73.75,1.45,2024,6,8,Saturday
8,6,21,64,19,691,2024-06-21,5.8,0,0.823,0,1,7.1044,26.59,82.09,1.64,2024,6,21,Friday
84,6,4,28,81,21,2024-05-19,1.0,4,0.957,1,1,2.2854,23.6,73.29,2.32,2024,5,19,Sunday
74,2,0,21,221,686,2024-06-10,1.6,9,0.967,1,0,2.8024,24.76,78.49,1.52,2024,6,10,Monday
29,1,7,17,46,473,2024-06-08,0.5,0,0.952,1,0,2.363,25.17,73.72,1.64,2024,6,8,Saturday
148,6,20,58,74,728,2024-04-30,0.3,0,1.0,0,0,2.74,20.06,77.85,1.55,2024,4,30,Tuesday
46,6,4,28,142,18,2024-05-11,0.1,0,1.0,1,0,1.9434,20.73,72.09,1.66,2024,5,11,Saturday
134,6,24,11,137,577,2024-05-12,0.6,0,1.0,1,0,0.6064,22.37,65.73,1.18,2024,5,12,Sunday
62,6,4,53,77,90,2024-05-25,1.2,0,1.0,1,0,1.0088,23.97,66.66,1.84,2024,5,25,Saturday
134,6,20,58,148,515,2024-05-01,0.6,0,0.87,1,1,2.3002,20.42,73.45,1.14,2024,5,1,Wednesday
1,2,29,76,60,740,2024-05-10,1.0,0,1.0,0,0,1.6203,20.43,65.36,1.67,2024,5,10,Friday
140,5,18,80,110,763,2024-05-06,1.4,0,0.943,0,1,2.6586,21.07,73.73,1.26,2024,5,6,Monday
53,6,10,38,190,715,2024-05-07,0.6,0,1.0,0,0,0.2721,21.35,68.3,1.05,2024,5,7,Tuesday
74,5,16,25,103,296,2024-04-01,1.4,5,0.86,0,1,3.8429,14.99,81.21,1.55,2024,4,1,Monday
121,0,5,7,66,802,2024-04-25,0.9,0,0.828,0,0,3.6535,19.82,79.16,1.53,2024,4,25,Thursday
93,6,4,28,1,117,2024-04-26,4.3,7,1.0,0,0,2.3276,20.33,72.29,1.22,2024,4,26,Friday
84,2,29,76,60,580,2024-05-25,2.4,0,1.0,1,0,1.0066,23.76,66.93,1.98,2024,5,25,Saturday
46,5,16,25,105,290,2024-06-16,1.4,5,0.999,1,0,7.7943,26.08,82.61,1.39,2024,6,16,Sunday
118,6,21,64,123,259,2024-04-26,0.0,16,1.0,0,0,3.2702,20.01,77.32,1.45,2024,4,26,Friday
0,5,18,80,111,764,2024-05-08,0.6,11,0.933,0,1,0.8385,20.87,64.79,2.25,2024,5,8,Wednesday
