store_id,first_category_id,second_category_id,product_id,dt,sale_amount,stock_hour6_22_cnt,discount,holiday_flag,activity_flag,precpt,avg_temperature,avg_humidity,avg_wind_level,year,month,day,weekday,discount_effect,avg_stock_sales_ratio,temp_humidity_ratio,weather_impact,is_weekend,is_holiday_activity,category_combo,discount_category_impact,sales_level
61,23,10,644,2024-03-30,0.2,0,1.0,1,0,2.0936,16.47,76.59,1.68,2024,3,30,Saturday,0.2,0.2,0.21226962237401725,6.71208,1,0,23_10,23.0,0
91,20,50,166,2024-06-07,3.6,4,1.0,0,0,1.8132,24.94,73.67,1.57,2024,6,7,Friday,3.6,0.72,0.3340029462970403,10.048960000000001,0,0,20_50,20.0,1
95,10,38,672,2024-04-25,0.4,0,0.732,0,1,3.6051,20.31,80.29,1.59,2024,4,25,Thursday,0.2928,0.4,0.24984622954852992,8.728530000000001,0,0,10_38,7.32,0
18,0,13,98,2024-05-26,0.9,6,0.82,1,1,0.8557,23.29,67.05,1.98,2024,5,26,Sunday,0.738,0.1285714285714286,0.3422483468038207,8.978710000000001,1,1,0_13,0.0,1
143,24,69,645,2024-06-14,2.9,0,0.625,0,1,6.4891,27.09,77.2,1.73,2024,6,14,Friday,1.8125,2.9,0.34641943734015346,12.26373,0,0,24_69,15.0,1
96,4,28,71,2024-06-02,2.2,5,0.785,1,1,1.6011,23.65,73.43,1.59,2024,6,2,Sunday,1.7270000000000003,0.3666666666666667,0.3177482198038425,9.46333,1,1,4_28,3.14,1
18,24,51,574,2024-04-04,0.7,6,1.0,1,0,0.9605,16.96,74.25,1.34,2024,4,4,Thursday,0.7,0.09999999999999999,0.22538205980066447,6.6701500000000005,0,0,24_51,24.0,0
46,20,58,223,2024-05-13,1.2,8,0.838,0,1,1.7002,21.32,72.75,1.93,2024,5,13,Monday,1.0055999999999998,0.13333333333333333,0.28908474576271187,8.45906,0,0,20_58,16.759999999999998,1
95,8,29,84,2024-04-26,0.2,0,1.0,0,0,2.7868,19.96,78.86,1.39,2024,4,26,Friday,0.2,0.2,0.24993739043325822,8.40304,0,0,8_29,8.0,0
151,21,64,666,2024-06-22,3.0,4,0.795,1,1,8.1354,27.01,82.0,1.84,2024,6,22,Saturday,2.3850000000000002,0.6,0.32542168674698796,12.692620000000002,1,1,21_64,16.695,1
